check	denetlemek
İnovasyon sürecini hızlandırmak için eleman alımı yapıldı.	Yenilik sürecini hızlandırmak için eleman alımı yapıldı.
İnovasyon neden önemlidir?	Yenilik neden önemlidir? 
İnovasyon bir buluş değildir.	Yenilik bir buluş değildir.
İnovasyon yapan bazı firmalar vardı.	Yenilik yapan bazı firmalar vardı.
İnovasyon ekonomisi bu aralar sık takip ediliyor.	Yenilikçi ekonomisi bu aralar sık takip ediliyor.
İnovasyona dayalı rekabetçilik arttı.	Yenilikçiliğe dayalı rekabetçilik arttı.
Şirketin başarısını inovasyona borçluydular.	Şirketin başarısını yeniliğe borçluydular.
İnovasyon örneklerini incelediler.	Yenilikçi örnekleri incelediler. 
İnovasyonu teşvik eden bir ortam yaratmaya başladı.	Yeniliğe teşvik eden bir ortam yaratmaya başladı.
Toplantı hızlı bir şekilde set edildi.	Toplantı hızlı bir şekilde ayarlandı.
Set edilmesi gereken bir organizasyon vardı.	Ayarlanması gereken bir organizasyon vardı.
Toplantıyı set etmeye çalışırken zaman sıkıntısı yaşadılar.	Toplantıyı ayarlamaya çalışırken zaman sıkıntısı yaşadılar.
Bu evrakların set edilmesi gerekebilir.	Bu evrakların ayarlanması gerekebilir.
Set edilecek bir çok toplantı vardı.	Ayarlanacak bir çok toplantı vardı.
Toplantı set edilmediği için sorunlar konuşulmadı.	Toplantı ayarlanmadığı için sorunlar konuşulmadı.
Yanlış bir görüşme set edildi.	Yanlış bir görüşme ayarlandı.
Toplantı set edildiği halde kimse gelmedi.	Toplantı ayarlandığı halde kimse gelmedi.
İşler set edilirken bazı işler unutulmuş.	İşler ayarlanırken bazı işler unutulmuş.
Listeler set edildikten sonra herkese verildi.	Listeler ayarlandıktan sonra herkese verildi.
Projelerin deadline olmak zorunda değil.	Projelerin son teslim tarihi olmak zorunda değil.	
Deadline çok önemli.	Son teslim zamanı çok önemli.
Şirket sahibi deadline uzattı.	Şirket sahibi son teslim tarihini uzattı.		
Projenin deadline konuşmayı unutmuşlar.	Projenin son teslim tarihini konuşmayı unutmuşlar.		
Bugün takım liderleri olmadığı için deadline karar veremediler.	Bugün takım liderleri olmadığı için son teslim tarihine karar veremediler.
Deadline dan önce işi bitirmelisin.	Son teslim tarihinden önce işi bitirmelisin.
Projenin deadline yaklaşıyor.	Projenin son teslim tarihi yaklaşıyor.
Bir tane deadline'im var.	Bir tane son teslim tarihim var.
Çalışanlar deadline bugün olduğunu bilmiyordu.	Çalışanlar son teslim tarihinin bugün olduğunu bilmiyordu.
Bu zamana kadar hiç deadline kaçırmadım.	Bu zamana kadar hiç son teslim tarihi kaçırmadım.
Check edilmesi gereken işler bitmedi.	Denetlenmesi gereken işler bitmedi.
Check etmek için ofise gitti.	Denetlemek için ofise gitti.
Evrakların check edilip imzalanması gerekti.	Evrakların denetlenip imzalanması gerekti.
Check edilmeyen kağıtlar rafta duruyordu.	Denetlenmeyen kağıtlar rafta duruyordu.
İşlerin check edilmesi için ofise eleman alındı.	İşlerin denetlenmesi için ofise eleman alındı.
Yanlış check edildiği için bazı kağıtlar çöpe atılmış.	Yanlış denetlendiği için bazı kağıtlar çöpe atılmış.
Tahlillerin check edilmesi için asistanlar doktorun yanına gitti.	Tahlillerin denetlenmesi için asistanlar doktorun yanına gitti.
Tahlillerin check edilmesi gereken bir durumu yoktu.	Tahlillerin denetlenmesi gereken bir durumu yoktu.
Kan değerlerini check edip ona göre ilaç verdi.	Kan değerlerini denetleyip ona göre ilaç verdi.
Fabrikada her zaman güvenlik için işçiler check edilirdi.	Fabrikada her zaman güvenlik için işçiler denetlenirdi.
Bu gece lansmanın en şık kadını sensin.	Bu gece tanıtımın en şık kadını sensin.
Lansman boyunca gözler hep onun üzerindeydi.	Tanıtım boyunca gözler hep onun üzerindeydi.
Lansman gecesi olaylar yaşandı.	Tanıtım gecesi olaylar yaşandı.
Lansmanda tanıtılan ürün çalışmadı.	Tanıtımda tanıtılan ürün çalışmadı.
Lansman için iki tane stand yeri kuruldu.	Tanıtım için iki tane stand yeri kuruldu.
Herkes markayı lansmanda tanıdı.	Herkes markayı tanıtımda tanıdı.
Lansman bizim markamızı insanlara tanıttıracaktır.	Tanıtım bizim markamızı insanlara tanıttıracaktır.	
Lansman için herkes beraber çalıştı.	Tanıtım için herkes beraber çalıştı.
Şirket lansman yapmaya gerek duymadı.	Şirket tanıtım yapmaya gerek duymadı.
İnsanlar lansman için bilet satın aldı.	İnsanlar tanıtım için bilet satın aldı.
Bu absürt işler yüzünden işlerim aksadı.	Bu saçma işler yüzünden işlerim aksadı.
Her zaman absürt olaylar benim başıma gelir.	Her zaman saçma olaylar benim başıma gelir.
Absürt olan da ne bileyim.	Saçma olan da ne bileyim.
Absürt olmayan da kendisine yakışıklı demesin.	Saçma olmayan da kendisine yakışıklı demesin.
Absürt işler benim işlerimdir.	Saçma işler benim işlerimdir.
Bazı mağazalar çok absürt duruyor.	Bazı mağazalar çok saçma duruyor.
Absürt kıyafetler giymeye bayılır.	Saçma kıyafetler giymeye bayılır.
Absürt insanlar kendilerini çok zeki sanıyor.	Saçma insanlar kendilerini çok zeki sanıyor.
Bana hediye olarak absürt birşey almış.	Bana hediye olarak saçma birşey almış.
Bu evin dekorasyonu çok absürt.	Bu evin dekorasyonu çok saçma.
Analiz işi için kadınlar daha uygun bulunuyor.	Çözümleme işi için kadınlar daha uygun bulunuyor.
Analiz etmek insanın beynini geliştirir.	Çözümlemek insanın beynini geliştirir.
Analiz etmek insanın düşünce yapısını geliştirir.	Çözümlemek insanın düsünce yapısını geliştirir.
Bir olayı analiz etmek için her detayını düşünmek gerekir.	Bir olayı çözümlemek için her detayını düşünmek gerekir.
Analiz etmek için çok vakit lazım.	Çözümlemek için çok vakit lazım.
Formüller analiz edilerek yeni bir teori oluşturulacak.	Formüller çözümlenerek yeni bir teori oluşturulacak.
Analiz için gerekli malzemeler bulunmuyordu.	Çözümlemek için gerekli malzemeler bulunmuyordu.
Çalışmaları analiz edilerek sonuca ulaşıldı.	Çalışmaları çözümleyerek sonuca ulaşıldı.
Analiz edilmesi gereken evraklar için zaman lazımdı.	Çözümlenmesi gereken evraklar için zaman lazımdı.
Projeyi kodlamadan önce problemin analiz edilmesi gerekir.	Projeyi kodlamadan önce problemin çözümlenmesi gerekir.
Şirketler için vizyonlar önemlidir.	Şirketler için ileri görüş önemlidir.
Vizyon önemli bir terimdir.	İleri görüş önemli bir terimdir.	
Vizyon insanlara çok şey katar.	İleri görüş insanlara çok şey katar.
Destek alacağınız değerlere dayalı bir vizyonunuz olmalı.	Destek alacağınız değerlere dayalı bir ileri görüşünüz olmalı.
Vizyon görülemez olan şeyleri görebilme sanatıdır.	İleri görüş, görülemez olan şeyleri görebilme sanatıdır.
İyi düşünülmüş bir vizyon bildirisi.	İyi düşünülmüş bir ileri görüş bildirisi.
Bu kurumun bir vizyonu olduğundan herkesin haberi var.	Bu kurumun bir ileri görüşü olduğundan herkesin haberi var.
Genellikle vizyon bildirgelerinde kullanılır.	Genellikle ileri görüş bildirgelerinde kullanılır.
Vizyon tanımına pek katılmıyorum.	İleri görüş tanımına pek katılmıyorum.
Bazı firmalar vizyonlarını paylaştı.	Bazı firmalar ileri görüşlerini paylaştı.	
Cc ye beni de ekle.	Eposta bilgisine beni de ekle.
Cc ye eklerken bazı hatalar alıyorum.	Eposta bilgisine eklerken bazı hatalar alıyorum.
Cc'ye en fazla iki kişi ekleyebilirsin.	Eposta bilgisine en fazla iki kişi ekleyebilirsin.
Ccden beni çıkarır mısın?	Eposta bilgisinden beni çıkarır mısın?
Cc ye nasıl eklendiğini internetten araştırdım.	Eposta bilgisine nasıl eklendiğini internetten araştırdım.
Müdür her zaman kendisinin ccye eklenmesini ister.	Müdür her zaman kendisinin eposta bilgisine eklenmesini ister.
Cc deki insanların bu eposta ile bir alakası yok.	Eposta bilgisindeki insanların bu eposta  ile bir alakası yok.
Epostada cc ekleme kısmını bulamadım.	Epostada eposta bilgisine ekleme kısmını bulamadım.
Çoğu çalışanlar eposta gönderirken cc kısmını atlıyor.	Çoğu çalışanlar eposta gönderirken eposta bilgisi kısmını atlıyor.
Bu takımdaki herkesi ccye eklemek zorundasın.	Bu takımdaki herkesi eposta bilgisine eklemek zorundasın.
Fulltime öğrencilik yapmaktayım.	Tam zamanlı öğrencilik yapmaktayım.
Fulltime olarak fakültede asistanlığa başladım.	Tam zamanlı olarak fakültede asistanlığa başladım.
Fulltime işlerin ücreti daha fazla oluyor.	Tam zamanlı işlerin ücreti daha fazla oluyor.
Bazı kadınlar fulltime çalışmayı tercih etmiyor.	Bazı kadınlar tam zamanlı çalışmayı tercih etmiyor.
Fulltime öğrenci kavramını ilk defa duydum.	Tam zamanlı öğrenci kavramını ilk defa duydum.
Fulltime olarak personel alımları yapacağız.	Tam zamanlı olarak personel alımları yapacağız.
Fulltime eğitimler daha öğretici oluyor.	Tam zamanlı eğitimler daha öğretici oluyor.
Mecbur olmasa, fulltime çalışmak istemiyordu.	Mecbur olmasa, tam zamanlı çalışmak istemiyordu.
Fulltime olarak çalışmayı bıraktım.	Tam zamanlı olarak çalışmayı bıraktım.
Fulltime olarak çalışmak beni çok korkutuyor.	Tam zamanlı olarak çalışmak beni çok korkutuyor.
Festivalda birden fazla inovasyonlara yer verilecekmiş.	Festivalda birden fazla yeniliklere yer verilecekmiş.
İnovasyonlar farklı alanlarda olabilir.	Yenilikler farklı alanlarda olabilir.
İnovasyon kişinin gelişiminde çok önemlidir.	Yenilik kişinin gelişiminde çok önemlidir.
Girişimci olabilmek için inovasyon gerekli olabilir.	Girişimci olabilmek için yenilik gerekli olabilir.
Bazı kurumların inovasyon yolculukları gerçekten çok etkileyici.	Bazı kurumların yenilik yolculukları gerçekten çok etkileyici.	
Krizi fırsata dönüştüren inovasyonlar.	Krizi fırsata dönüştüren yenilikler.
İnovasyon yıkıcı olmalıdır.	Yenilik yıkıcı olmalıdır.
İnovasyon, yaratıcı bir fikri katma değer yaratabilir.	Yenilik, yaratıcı bir fikri katma değer yaratabilir.
İnovasyon günümüzde önemli bir kavram olmaktadır.	Yenilik günümüzde önemli bir kavram olmaktadır.
Gençler hep bir inovasyon peşinde.	Gençler hep bir yenilik peşinde.
Bu randevuyu set etmek için çok uğraştım.	Bu randevuyu ayarlamak için çok uğraştım.
Arkadaşım bir program set edince hep sorun çıkıyordu.	Arkadaşım bir program ayarlayınca hep sorun çıkıyordu.
Toplantılar henüz set edilmedi.	Toplantılar henüz ayarlanmadı.
Bu dersin müfredatı set edilmedi.	Bu dersin müfredatı ayarlanmadı.
Hocalar dersleri set etmek için toplantı odasında bekliyolardı.	Hocalar dersleri ayarlamak için toplantı odasında bekliyolardı.
Burada çalışanların, çalışma izinlerinin set edilmesi gerekiyor.	Burada çalışanların, çalışma izinlerinin ayarlanması gerekiyor.
Programımda set edilmesi gereken bir sürü iş var.	Programımda ayarlanması gereken bir sürü iş var.
Annesi için doğum günü partisi set etti.	Annesi için doğum günü partisi ayarladı.
Tanıtım programı için yiyecekleri hemen set ettiler.	Tanıtım programı için yiyecekleri hemen ayarladılar.
Listedeki ürünler için farklı bir çözüm set edilecek.	Listedeki ürünler için farklı bir çözüm ayarlanacak.
